,DEP_ENT,MONTH,NET_SALES
1,200_155,2023-03-01,2325654.2399999998
2,160_155,2023-03-01,2648784.61
3,220_155,2021-09-01,3221520.5600000005
4,250_165,2021-06-01,17602.007033408863
5,210_155,2018-11-01,11928914.959999999
6,240_155,2019-05-01,5259724.5
7,200_155,2022-08-01,1953652.6099999996
8,260_155,2022-04-01,3220.4099999999994
9,160_155,2020-08-01,2394048.09
10,240_155,2021-08-01,6287198.05
11,220_310,2023-08-01,9522.372293065717
12,200_155,2019-10-01,1522283.2499999995
13,250_310,2019-02-01,48641.78480489589
14,220_310,2017-09-01,-99852.02472462157
15,200_310,2020-10-01,362919.6085754835
16,250_155,2020-07-01,5489644.100000001
17,250_310,2023-04-01,218007.09583283876
18,200_155,2016-04-01,2163636.39
19,170_155,2016-06-01,3836732.4600000004
20,210_155,2018-06-01,4328053.96
21,220_155,2017-11-01,1772544.8499999999
22,200_310,2016-05-01,36951.86040952913
23,210_155,2017-12-01,6770589.780000001
24,220_310,2022-11-01,4949.014705882355
26,200_155,2018-07-01,1500893.07
27,210_155,2022-10-01,4095727.6999999993
28,220_310,2020-10-01,431195.42840068706
29,210_165,2020-11-01,555304.8351518577
30,220_310,2021-12-01,-6943.596862929811
31,260_155,2022-08-01,3398.9300000000003
32,240_155,2022-02-01,5226840.89
33,200_310,2016-04-01,27159.842641160132
34,200_310,2022-08-01,219711.28742280937
35,250_155,2022-09-01,12275967.699999997
36,250_155,2022-08-01,6357307.1899999995
37,170_155,2021-04-01,2800581.01
38,170_155,2023-05-01,4453374.39
39,170_155,2021-12-01,2887961.2699999996
40,260_155,2022-03-01,3212.5099999999993
41,240_155,2019-10-01,4596602.11
42,250_310,2019-06-01,569867.7415446782
43,250_165,2019-02-01,110.39062908539393
44,260_155,2021-02-01,2689.44
45,210_165,2023-07-01,343494.10620740295
46,170_155,2018-11-01,3850446.9
47,210_310,2016-07-01,1272045.4277809572
48,250_310,2016-05-01,304651.66026611417
49,200_155,2023-05-01,2443940.1399999997
50,200_310,2023-01-01,182779.607351096
51,260_155,2022-10-01,2673.5199999999995
52,170_155,2020-07-01,2376793.6799999997
53,210_165,2022-04-01,786379.007856571
54,200_155,2022-11-01,4112404.0300000003
55,170_155,2023-08-01,2969580.5699999994
56,220_310,2023-09-01,-1938.112482447712
57,170_155,2016-02-01,4135754.8099999996
58,260_155,2021-05-01,5819.030000000002
59,210_155,2016-08-01,5626725.619999999
60,240_155,2019-06-01,4696967.92
61,170_155,2018-12-01,2777941.5199999996
62,200_155,2017-04-01,1808462.2999999998
63,200_155,2022-12-01,2913744.15
64,210_155,2022-05-01,1288321.1900000009
65,240_155,2020-07-01,4848840.53
66,260_155,2020-02-01,2131.2499999999995
67,200_310,2018-06-01,250181.1310494835
68,250_310,2016-04-01,460515.8997153662
69,200_155,2018-02-01,1809524.6400000001
70,200_310,2019-09-01,319304.7107438017
71,250_155,2016-08-01,6838040.699999999
72,220_310,2016-11-01,-9460.662834963048
73,220_310,2017-11-01,292983.3893010544
74,200_310,2021-02-01,391050.5830789702
75,250_165,2020-02-01,420.9480839095296
76,220_155,2021-01-01,6238039.24
77,200_155,2019-06-01,1856416.87
78,250_310,2017-12-01,340478.69351162843
79,210_310,2016-12-01,3659366.791734664
80,250_155,2017-07-01,3218368.3799999994
81,210_165,2019-08-01,919804.6760740647
82,240_155,2021-03-01,5677764.130000001
83,250_155,2021-07-01,6556439.0
84,220_155,2020-07-01,4559857.72
85,210_310,2017-03-01,1900607.7572021284
86,210_310,2019-04-01,1250241.7815520095
87,240_155,2017-07-01,4351244.28
88,260_155,2021-08-01,5071.149999999999
89,250_165,2020-12-01,-131606.66566799057
90,200_310,2016-07-01,33025.33838657281
91,220_310,2017-03-01,-36074.95447647953
92,250_155,2017-09-01,8429271.590000002
93,220_155,2020-10-01,-107382.44999999998
94,160_155,2022-06-01,2327011.24
95,250_155,2019-02-01,3969440.2400000007
96,210_165,2019-11-01,864926.9308355022
97,250_155,2022-03-01,5226201.46
98,210_165,2021-08-01,740919.3084865286
99,210_310,2020-12-01,444302.82608314074
100,160_155,2020-01-01,1851173.7899999996
101,250_310,2022-02-01,375292.9617372982
102,250_165,2023-05-01,61415.92658509502
103,210_310,2016-06-01,1430004.182428913
104,240_155,2017-09-01,3529201.2699999996
105,200_155,2021-08-01,2982415.15
106,220_155,2020-12-01,78751.62
107,160_155,2021-11-01,2048084.43
108,200_155,2017-06-01,2115785.29
109,240_155,2017-08-01,3916427.6500000004
110,250_155,2020-06-01,9156027.1
111,260_155,2023-09-01,24282.61
112,220_310,2016-08-01,1008089.7451642611
113,240_155,2020-05-01,2103817.6399999997
114,250_165,2022-12-01,64822.65195670235
115,210_165,2022-11-01,774791.1341352531
116,220_310,2020-07-01,309092.8095482169
117,250_310,2021-10-01,1343923.1378688961
118,210_155,2018-08-01,3147656.1500000004
119,170_155,2023-04-01,3475834.79
120,220_155,2022-06-01,-54804.380000000005
121,210_310,2017-01-01,1891726.8909731975
122,220_155,2016-09-01,166350.67
123,210_310,2019-12-01,934804.0480210937
124,250_165,2022-05-01,25433.041007299766
125,240_155,2019-08-01,4808939.42
126,220_155,2019-07-01,6483317.550000001
127,170_155,2017-10-01,2309005.3899999997
128,250_310,2021-02-01,357653.77379276184
129,170_155,2019-04-01,4253481.260000001
130,220_155,2019-10-01,8006403.010000001
132,250_310,2021-12-01,444982.09026063635
133,250_165,2023-01-01,-2676.438841532284
134,260_155,2021-10-01,4992.09
135,160_155,2017-12-01,2844600.4299999997
136,170_155,2019-05-01,3896907.2500000005
137,240_155,2017-01-01,4835069.390000001
138,210_165,2018-07-01,459029.35406097234
139,200_310,2020-01-01,254506.5293937539
140,200_155,2021-11-01,3826672.5100000002
141,250_155,2023-04-01,3402514.8000000003
142,220_310,2022-03-01,68433.2939787485
143,260_155,2019-04-01,4324.65
144,220_155,2017-05-01,352972.55000000005
145,240_155,2021-05-01,5873667.24
146,210_165,2021-11-01,401277.28303723386
147,250_165,2022-08-01,-947.672727272724
148,250_165,2020-04-01,10647.764419034775
149,170_155,2018-09-01,4005606.0100000002
150,170_155,2018-08-01,4319522.739999999
151,250_310,2017-11-01,491198.8717602635
152,200_310,2017-08-01,48363.95592020589
153,210_165,2018-12-01,999200.3000494399
154,160_155,2022-10-01,2745284.1799999997
155,160_155,2018-01-01,1931032.7200000002
156,260_155,2021-09-01,5790.54
157,250_165,2021-03-01,66151.19819646979
158,250_165,2021-08-01,58626.08360614466
159,160_155,2017-08-01,6268703.35
160,250_310,2018-06-01,316912.50074807485
161,250_310,2016-09-01,505605.1708612666
162,200_155,2023-01-01,1622113.5799999998
163,240_155,2019-11-01,4096456.73
164,250_310,2016-12-01,364885.0048205764
165,170_155,2016-12-01,2926362.79
166,200_155,2020-12-01,6080434.140000001
167,210_310,2021-08-01,126189.68445068093
168,250_155,2020-10-01,12711989.360000001
169,260_155,2022-09-01,5377.5199999999995
170,220_155,2020-03-01,4336910.399999999
171,210_155,2022-06-01,428054.3399999991
172,210_155,2019-06-01,4810160.59
173,250_155,2018-11-01,8357980.130000001
174,250_155,2021-09-01,8400478.02
175,210_165,2021-09-01,330331.72065712826
176,260_155,2021-03-01,6314.17
177,200_155,2017-07-01,2169368.17
178,210_310,2017-08-01,1871283.5852002907
179,250_155,2017-08-01,7275830.84
180,210_165,2017-04-01,725281.1882246038
181,200_310,2022-10-01,110217.05052277545
182,200_155,2020-08-01,3073121.31
183,210_165,2019-07-01,168884.07281356415
184,160_155,2016-05-01,3399714.5
185,170_155,2020-05-01,1359308.4100000004
186,220_155,2021-08-01,1280225.5199999998
187,200_310,2022-12-01,221944.7562233025
188,250_310,2018-12-01,308692.4836269831
189,240_155,2022-01-01,5012922.129999999
190,170_155,2021-11-01,5165607.750000001
191,200_155,2017-02-01,1311588.13
192,220_155,2017-07-01,-213444.67999999996
193,220_310,2018-09-01,557366.9080822866
194,250_165,2019-01-01,10917.917663223161
195,220_155,2017-04-01,746586.02
196,160_155,2016-10-01,1765562.4199999997
197,260_155,2023-07-01,2526.1099999999997
198,260_155,2023-02-01,3338.9900000000007
199,220_310,2020-05-01,-496.6563378251785
200,220_310,2018-05-01,-21323.374395758616
201,250_310,2023-05-01,229656.41761772183
202,260_155,2020-04-01,4010.8499999999995
203,250_165,2021-02-01,2069.7301498627558
204,250_155,2020-01-01,3083167.2499999995
205,250_155,2019-06-01,7361816.289999999
206,170_155,2019-01-01,4148781.4699999997
207,210_165,2016-10-01,1348092.3668032703
208,210_165,2016-04-01,1003713.6793008939
209,210_165,2017-11-01,1997976.0109775155
210,220_155,2022-08-01,-131668.79
211,200_310,2023-03-01,226862.76979742176
212,250_310,2022-03-01,431654.91477371356
213,200_155,2019-05-01,2333062.1799999992
214,250_155,2022-11-01,13245284.920000002
215,170_155,2016-03-01,3052080.8300000005
216,200_155,2020-10-01,2052590.7499999998
217,220_310,2022-01-01,-2184.4034536891677
218,220_310,2021-08-01,380260.2165196472
219,250_165,2023-09-01,-104044.24139167948
220,200_155,2017-08-01,2831195.0300000003
221,250_155,2019-04-01,4664345.78
222,240_155,2018-09-01,3920250.3
223,220_155,2016-05-01,324417.1
224,210_165,2018-02-01,442284.99467121024
225,250_155,2022-07-01,5023800.990000001
226,250_165,2021-05-01,25018.843313373047
227,210_155,2016-06-01,4313279.18
228,210_165,2018-04-01,1717235.498071614
229,250_155,2019-07-01,5256380.519999999
230,210_155,2023-09-01,2225876.9599999995
231,200_310,2022-11-01,442799.6323529412
232,170_155,2020-09-01,2632877.6100000003
233,250_165,2019-06-01,9254.460935458625
234,250_165,2019-10-01,28445.43473512559
235,220_155,2023-01-01,383548.07999999996
236,250_310,2020-01-01,243485.63849279535
237,220_310,2020-12-01,510512.35565819894
238,250_155,2020-05-01,9391505.339999998
239,250_310,2021-11-01,743611.6223120871
240,170_155,2016-07-01,3546292.8699999996
241,260_155,2019-12-01,3658.12
242,200_310,2017-09-01,57433.39408827957
243,250_155,2016-09-01,5720205.03
244,200_155,2021-04-01,3640408.139999999
245,200_310,2021-08-01,425862.5260625502
246,240_155,2020-01-01,4825513.529999999
247,210_155,2020-05-01,4323093.23
248,200_310,2022-01-01,317539.78021978034
249,240_155,2019-04-01,6332781.760000002
250,200_310,2020-11-01,415857.85086731234
251,220_155,2022-03-01,-170922.25
252,250_165,2022-07-01,29452.663716374052
253,170_155,2016-11-01,2449593.7600000002
254,200_155,2020-06-01,4077669.79
255,220_310,2023-03-01,-14360.640883977901
256,210_155,2018-10-01,6790106.710000001
257,220_155,2018-02-01,3130043.6399999997
258,170_155,2021-01-01,3062804.34
259,250_310,2018-11-01,897884.5532949262
260,250_155,2018-07-01,4870705.490000001
261,200_310,2021-12-01,571900.7222483907
262,240_155,2018-02-01,6464611.11
263,200_310,2016-12-01,77016.69148302561
264,240_155,2018-07-01,5172616.159999999
265,200_310,2018-10-01,211502.72008679487
266,250_310,2019-03-01,290965.13239395386
267,170_155,2019-07-01,4526267.0
268,200_155,2021-10-01,1841159.26
269,260_155,2020-06-01,2053.1699999999996
270,160_155,2016-02-01,1305615.57
271,220_310,2019-10-01,431122.95379039546
272,160_155,2019-09-01,2371841.53
273,220_155,2016-03-01,-798354.81
274,250_310,2018-10-01,1384020.180396777
275,220_155,2020-08-01,-87191.56000000001
276,250_165,2020-05-01,30145.12469458286
277,240_155,2016-09-01,4200946.09
278,220_310,2019-06-01,-29796.592087716715
279,210_155,2022-01-01,6712500.6499999985
280,250_310,2023-07-01,201632.07090723145
281,200_155,2019-02-01,2116634.16
282,250_155,2018-05-01,5200954.289999999
283,240_155,2018-11-01,3541917.43
284,250_155,2017-12-01,5288124.98
285,160_155,2017-04-01,4171031.810000001
286,250_165,2023-07-01,71346.7333601974
287,210_155,2016-03-01,14309761.85
288,220_310,2019-03-01,252235.59373574582
289,200_155,2023-09-01,3834544.9100000006
290,160_155,2021-07-01,4189142.0400000005
291,250_155,2022-06-01,5694082.470000001
292,210_155,2017-10-01,2014029.9099999997
293,240_155,2016-12-01,4036868.32
294,220_155,2018-09-01,42595.860000000015
295,220_155,2016-02-01,2648281.14
296,200_155,2020-07-01,3357018.8699999996
297,200_310,2020-07-01,388875.814600571
298,240_155,2022-10-01,3784391.0199999996
299,250_155,2023-06-01,7775198.390000001
300,250_310,2020-02-01,150738.5734592757
301,210_310,2023-05-01,2030026.4280442807
302,210_155,2019-01-01,2064315.1199999996
303,250_155,2021-05-01,10640466.38
304,170_155,2023-03-01,4931564.409999999
305,200_310,2021-07-01,269819.9500040319
306,210_165,2019-10-01,603506.8684695732
307,160_155,2016-11-01,3749318.4899999998
308,210_165,2021-01-01,103960.95656108519
309,250_155,2016-11-01,7841547.94
310,250_310,2018-04-01,368366.05145371414
311,210_165,2018-10-01,423008.2400042765
312,250_310,2017-04-01,289238.8090098233
313,210_165,2016-11-01,672112.8224062496
314,220_155,2019-01-01,5835780.560000001
315,210_155,2019-10-01,3572095.900000001
316,200_310,2018-07-01,250379.35262757057
317,200_310,2022-09-01,362698.99175068724
319,250_165,2022-06-01,63138.430800715825
320,160_155,2018-08-01,2903536.98
321,220_310,2018-06-01,-12547.751106968079
322,260_155,2020-10-01,11640.580000000002
323,220_310,2023-02-01,-3809.279736999401
324,220_310,2020-04-01,-15456.136636318734
325,200_155,2017-05-01,2467258.2600000002
326,170_155,2018-04-01,4975129.8100000005
327,210_310,2016-05-01,1930329.2194614038
328,220_310,2022-10-01,57514.9301747459
329,170_155,2022-04-01,3558280.8100000005
330,250_155,2019-10-01,9943877.569999998
331,220_155,2016-06-01,-112004.35999999999
332,220_310,2020-01-01,73588.12767911822
333,220_155,2021-04-01,-156298.08000000007
334,200_155,2018-11-01,2227767.5899999994
335,210_155,2019-02-01,3520819.13
336,200_310,2018-11-01,205072.0030522702
337,220_310,2018-11-01,688127.6840900423
338,210_155,2023-08-01,3083599.6499999994
339,210_165,2022-06-01,400290.88961370906
340,250_155,2016-04-01,5171260.62
341,220_155,2016-12-01,2210876.8899999997
342,240_155,2023-01-01,3714765.0700000003
343,220_155,2022-07-01,-261499.55000000002
344,220_310,2021-11-01,-47426.390570759664
345,250_155,2019-11-01,9443771.26
346,240_155,2018-08-01,5033844.540000001
347,210_155,2021-08-01,3571455.8699999996
348,250_310,2021-04-01,299952.3618204877
349,160_155,2020-06-01,2433237.66
350,170_155,2022-11-01,3725361.97
351,250_310,2022-09-01,305159.74715857056
352,160_155,2020-04-01,3240286.82
353,210_310,2020-02-01,994953.9791656552
354,240_155,2018-01-01,5275954.470000001
355,250_155,2017-03-01,6171329.059999999
356,170_155,2020-12-01,3283748.0099999993
357,160_155,2023-06-01,4064730.7600000007
358,220_310,2021-05-01,-21494.80413714472
359,250_155,2022-05-01,9282788.740000002
360,160_155,2020-11-01,3459080.1699999995
361,210_310,2017-04-01,2447646.326341356
362,260_155,2019-11-01,4547.78
363,220_155,2021-10-01,2266715.4000000004
364,260_155,2023-04-01,3216.7200000000003
365,210_155,2017-04-01,15336265.41
366,250_165,2019-08-01,20763.416041546327
367,250_155,2016-12-01,6283787.130000001
368,210_155,2016-02-01,7205068.12
369,220_310,2021-07-01,-16350.25401177324
370,250_310,2023-02-01,210454.73319187443
371,210_310,2017-10-01,1530770.25908719
372,200_155,2016-10-01,1232046.5300000003
373,250_310,2019-10-01,1027427.3693408265
374,220_155,2016-07-01,1666338.7499999998
375,160_155,2017-06-01,3508167.8999999994
376,200_155,2020-02-01,1557584.4800000002
377,210_165,2023-09-01,322543.7685318054
378,250_310,2018-09-01,244886.39751906632
379,210_165,2020-04-01,385796.2512611385
380,200_155,2018-09-01,1438770.4100000001
381,210_165,2023-08-01,595162.8051340497
382,210_310,2020-11-01,1998459.2399541938
383,220_310,2023-04-01,-965.6730769230767
384,200_155,2022-09-01,3745685.680000001
385,210_155,2023-05-01,4008775.430000001
386,160_155,2021-06-01,5564576.089999999
387,210_155,2016-10-01,6239512.66
388,240_155,2023-08-01,9771564.42
389,210_310,2022-02-01,134713.64263458987
390,260_155,2022-07-01,2196.6599999999994
391,210_155,2021-03-01,6578016.65
392,200_155,2019-11-01,2681924.3200000003
393,250_155,2017-02-01,3459784.6599999997
394,160_155,2021-03-01,5035752.4399999995
395,220_155,2023-04-01,2702366.44
396,210_310,2021-05-01,769445.5644482457
397,220_155,2021-03-01,1474221.04
398,200_310,2018-05-01,411387.2446592858
399,160_155,2017-11-01,2104794.39
400,200_155,2020-09-01,4930647.75
401,210_310,2021-12-01,718660.6491387971
402,250_165,2022-10-01,39532.4924358909
403,250_165,2022-04-01,737.8646253021793
404,170_155,2021-03-01,2885204.2699999996
405,250_310,2023-09-01,504010.70394723193
406,250_155,2022-04-01,5017651.619999999
407,210_310,2023-01-01,-174973.31892833326
408,250_310,2020-06-01,414916.60624083044
409,210_165,2020-08-01,663599.0865297221
410,220_310,2022-06-01,-20047.506914263147
411,160_155,2018-11-01,2259003.02
412,210_165,2017-09-01,618111.2337662316
413,250_155,2023-01-01,2447080.5800000005
414,240_155,2021-04-01,6590332.2700000005
415,170_155,2019-08-01,3224091.580000001
416,210_310,2021-10-01,425827.34786106326
417,260_155,2023-03-01,6141.579999999999
418,220_155,2022-04-01,-156203.92999999993
419,200_310,2020-12-01,924583.3333333338
420,210_310,2022-10-01,2493892.8719785027
421,210_155,2022-08-01,3935815.559999999
422,210_165,2020-12-01,301960.8718448067
423,200_310,2017-03-01,45400.00758725343
424,170_155,2018-02-01,2804014.46
425,210_310,2022-06-01,1862912.0426708816
427,240_155,2023-09-01,5452453.999999999
428,250_310,2022-08-01,496460.92388806236
429,250_155,2019-09-01,6633068.480000001
430,240_155,2022-11-01,3514097.3700000006
431,210_155,2017-11-01,11737527.92
432,210_155,2023-04-01,5560797.289999999
433,210_165,2021-03-01,430807.8060245593
434,170_155,2019-10-01,4154501.83
435,160_155,2016-07-01,2031853.38
436,170_155,2023-06-01,3509837.49
438,160_155,2019-02-01,286782.77
439,250_165,2021-12-01,90571.42639579845
440,220_310,2023-05-01,76550.80442804431
441,200_310,2019-06-01,228102.24477700412
442,250_155,2017-06-01,3457063.3800000004
443,220_310,2018-08-01,-2182.582674748716
444,220_310,2018-12-01,-9826.067314208269
445,250_155,2018-09-01,9201118.090000002
446,200_155,2022-02-01,2328955.9699999997
447,220_310,2020-11-01,44956.86716227377
448,210_165,2023-01-01,91654.86956968227
449,160_155,2023-07-01,1216845.0699999998
450,160_155,2017-03-01,2193553.4400000004
451,210_155,2021-02-01,9261129.49
452,170_155,2022-03-01,5970346.06
453,260_155,2020-09-01,4345.02
454,260_155,2023-05-01,4063.0999999999995
455,250_310,2020-04-01,334022.395891027
456,210_165,2019-02-01,538153.5875647097
457,200_155,2023-02-01,1728206.02
458,250_310,2021-03-01,742523.650861139
459,170_155,2017-11-01,3601390.150000001
460,250_155,2018-10-01,14773285.919999998
461,240_155,2017-11-01,3383185.1799999997
462,220_310,2017-12-01,627064.9848402395
463,250_155,2023-09-01,6406521.630000001
464,250_155,2021-11-01,13526148.430000002
465,170_155,2023-02-01,6929949.29
466,240_155,2018-03-01,6243249.950000001
467,210_310,2016-10-01,2050116.2057940827
468,160_155,2017-07-01,2957970.5200000005
469,220_310,2018-02-01,114818.22088874476
470,200_310,2019-11-01,262485.7783520828
471,250_310,2017-02-01,518245.09665675054
472,210_155,2021-11-01,8690709.709999999
473,220_310,2022-05-01,63743.97946484136
474,200_155,2021-12-01,4101338.13
475,200_155,2019-03-01,1830020.61
476,240_155,2016-06-01,4737963.89
477,240_155,2023-06-01,7961830.92
478,200_310,2022-06-01,201265.16001580414
479,210_165,2020-07-01,-345643.4463019601
480,200_310,2018-04-01,378123.372895819
481,210_310,2018-07-01,724983.093755524
482,220_310,2020-08-01,384142.8624646102
483,220_310,2023-01-01,34080.10923315374
484,220_310,2022-07-01,-100327.18175471266
485,250_155,2016-07-01,5282476.850000001
486,160_155,2018-10-01,2613242.41
487,200_155,2020-04-01,4574204.209999999
488,210_155,2020-02-01,3780604.6400000006
489,220_310,2021-01-01,-12425.779902806087
490,210_310,2016-02-01,1402452.8871848832
491,220_155,2018-10-01,579825.06
492,210_155,2020-10-01,7374492.22
493,160_155,2021-04-01,1776966.4999999998
494,170_155,2019-06-01,3890287.8100000005
495,210_155,2023-03-01,5973971.860000001
496,220_155,2020-09-01,388461.94
497,250_165,2020-09-01,51940.49181006181
498,210_310,2018-03-01,1594891.0820690477
499,210_165,2019-09-01,1168598.2115916817
500,200_310,2020-06-01,439612.4046771731
501,250_155,2021-01-01,8855749.99
503,220_310,2022-04-01,-31060.47275641025
504,250_165,2022-03-01,4753.975411851485
505,250_165,2020-06-01,1374.3462275854401
506,240_155,2019-12-01,3778045.7699999996
507,160_155,2017-01-01,2629869.0
508,240_155,2017-02-01,4153796.71
509,210_310,2020-09-01,744977.763390091
510,210_310,2018-04-01,1787268.2706679108
511,250_155,2018-01-01,4254794.16
512,250_310,2016-02-01,344959.10292749235
513,240_155,2022-06-01,7404317.760000001
514,240_155,2020-12-01,3659786.3899999997
515,250_155,2021-08-01,8271606.159999999
516,200_310,2017-07-01,53101.67653618397
517,160_155,2019-05-01,1859274.1400000001
518,220_155,2018-11-01,223955.8399999998
519,220_155,2020-05-01,-115238.43999999997
520,210_165,2020-01-01,221039.0781060075
521,210_310,2019-05-01,1114139.4474851356
522,250_155,2016-03-01,4657544.66
523,250_155,2018-12-01,523319.1699999997
524,220_155,2017-12-01,-323460.13000000006
525,200_310,2018-09-01,232537.40657985973
526,260_155,2022-12-01,10435.32
528,250_155,2018-04-01,3067919.4299999997
529,250_155,2021-10-01,12729215.56
530,220_155,2023-08-01,249502.95
531,210_310,2018-12-01,781967.3574572694
532,250_155,2019-08-01,4746102.07
533,220_155,2017-03-01,4531697.120000001
534,220_310,2017-02-01,-31013.433973772502
535,210_155,2020-08-01,5110918.97
536,210_165,2020-10-01,494815.9437321992
537,220_155,2021-11-01,-476039.93
538,250_165,2020-01-01,6935.081118215906
539,240_155,2018-04-01,7349842.380000001
540,220_310,2016-09-01,70052.2791478965
541,260_155,2020-05-01,4302.55
542,200_155,2023-06-01,1748262.3
543,240_155,2017-12-01,4494981.26
544,160_155,2019-07-01,2978090.3499999996
545,250_155,2017-01-01,3182033.9099999997
546,200_310,2021-10-01,265349.7883017091
547,200_310,2022-02-01,304473.34064728493
548,160_155,2019-01-01,1382350.4900000002
549,240_155,2016-02-01,4727951.25
550,170_155,2020-03-01,2999681.66
551,210_310,2023-08-01,-134780.69116426425
552,210_155,2017-01-01,1694443.8
553,170_155,2018-06-01,4719631.489999999
554,210_310,2021-09-01,335240.09705578926
555,160_155,2022-08-01,1966859.1800000004
556,210_155,2016-01-01,617850.2400000002
557,200_155,2017-12-01,4614243.09
558,200_155,2016-11-01,2138401.9
559,200_310,2017-01-01,43145.636634400595
560,170_155,2018-03-01,3814881.76
561,250_155,2020-04-01,3072612.54
562,220_155,2021-05-01,535794.3400000001
563,250_165,2020-08-01,25018.60298127614
565,250_310,2020-07-01,432226.0280954735
566,210_165,2020-06-01,529740.7713995758
567,210_155,2018-02-01,4852140.470000001
568,260_155,2020-11-01,9676.77
569,220_310,2019-07-01,286746.1879297175
570,220_310,2017-07-01,-43204.0913635315
571,200_155,2021-07-01,2143054.42
572,170_155,2022-08-01,6151421.99
573,170_155,2021-02-01,3846285.040000001
574,220_310,2019-04-01,14467.738309352519
575,170_155,2021-08-01,6344553.930000001
576,210_165,2023-05-01,1098155.3470522887
577,200_310,2023-06-01,175656.00500110319
578,200_155,2019-07-01,1895360.33
579,250_155,2016-06-01,8319906.23
580,220_310,2020-09-01,-2156.9901504161257
581,220_155,2018-01-01,2565830.14
582,160_155,2022-02-01,3381362.1799999997
583,170_155,2019-12-01,3977904.07
584,170_155,2018-10-01,4783577.4
585,210_155,2022-11-01,11012638.069999998
586,200_155,2020-03-01,2345754.6100000003
587,210_155,2017-03-01,3585583.4099999997
588,160_155,2016-06-01,1790391.7000000002
589,220_155,2019-11-01,54826.169999999984
590,160_155,2018-07-01,3112857.06
591,200_310,2023-04-01,222637.23372781058
592,210_310,2020-08-01,1271050.2613537463
593,220_310,2020-06-01,112018.83215919817
594,240_155,2018-06-01,4663479.41
595,170_155,2017-03-01,3248775.11
596,210_310,2020-01-01,495382.6670981344
598,200_310,2023-07-01,201365.8917654164
599,250_165,2020-07-01,20856.638695548598
600,160_155,2022-12-01,3144129.1700000004
601,240_155,2022-07-01,5090400.67
602,210_155,2019-12-01,10365658.39
603,170_155,2016-08-01,3006098.02
604,250_165,2019-07-01,1189.798711503839
605,250_165,2018-12-01,21662.432031636326
606,200_310,2020-09-01,295909.46018172114
607,210_310,2019-09-01,102418.4988910585
608,210_310,2017-05-01,2178437.01412967
609,170_155,2017-07-01,3501548.3000000007
610,210_310,2019-02-01,-584876.9023838144
611,210_310,2019-07-01,-620481.6322406412
612,220_310,2016-10-01,1149162.5903660303
613,240_155,2022-05-01,6525597.1899999995
614,200_155,2018-05-01,2115120.67
615,200_155,2016-12-01,5408161.610000001
616,210_165,2016-06-01,545822.9499502175
617,260_155,2019-03-01,4864.58
618,250_155,2020-02-01,4788681.569999999
619,210_310,2023-03-01,-2518.85647366524
620,240_155,2016-05-01,5687682.48
621,250_155,2021-03-01,7649544.539999999
622,240_155,2016-04-01,5503850.3
623,210_310,2018-06-01,4811058.841674052
