,DEPARTMENT,ENTITY,DEP_ENT,BUDGET_AMOUNT,MONTH
488,170,155,170_155,3507848,2022-11-01
489,210,155,210_155,14486537,2016-12-01
490,200,310,200_310,94469,2016-03-01
491,240,155,240_155,7183387,2023-03-01
492,250,310,250_310,404547,2017-05-01
493,250,310,250_310,296890,2020-12-01
494,200,310,200_310,629537,2020-12-01
495,200,155,200_155,2930306,2023-06-01
496,210,155,210_155,15871856,2017-04-01
497,210,155,210_155,4107068,2020-03-01
498,210,165,210_165,1011110,2022-10-01
499,220,155,220_155,141323,2018-09-01
500,160,155,160_155,1941945,2019-03-01
501,160,155,160_155,2774741,2019-10-01
502,220,155,220_155,315234,2020-04-01
503,160,155,160_155,1409193,2019-02-01
504,170,155,170_155,4341771,2023-05-01
505,210,155,210_155,3089875,2019-02-01
506,210,165,210_165,220798,2023-01-01
507,210,155,210_155,11669113,2016-06-01
508,220,155,220_155,1209425,2016-09-01
509,210,165,210_165,974309,2020-10-01
510,170,155,170_155,3432112,2018-10-01
511,210,310,210_310,3065145,2017-05-01
512,210,155,210_155,6512184,2020-11-01
513,250,155,250_155,6111145,2016-08-01
514,250,165,250_165,43345,2023-09-01
515,210,310,210_310,2783827,2018-12-01
516,220,155,220_155,728014,2022-09-01
517,240,155,240_155,5373043,2023-09-01
518,220,155,220_155,244992,2020-02-01
519,210,155,210_155,11252702,2016-01-01
520,250,310,250_310,695396,2018-03-01
521,250,310,250_310,1053143,2022-11-01
522,210,165,210_165,598755,2018-07-01
523,160,155,160_155,4072910,2017-10-01
524,170,155,170_155,4803307,2020-05-01
525,250,155,250_155,8732189,2020-11-01
526,160,155,160_155,5833355,2018-12-01
527,210,165,210_165,600797,2020-09-01
528,250,155,250_155,13145916,2018-10-01
529,200,155,200_155,3900000,2017-10-01
530,220,310,220_310,-1000,2020-03-01
531,250,310,250_310,244337,2020-03-01
532,200,310,200_310,398657,2019-04-01
533,210,165,210_165,170177,2020-07-01
534,210,165,210_165,739209,2018-09-01
535,250,155,250_155,8139150,2022-08-01
536,210,310,210_310,1186123,2019-08-01
537,210,310,210_310,3203102,2016-10-01
538,210,310,210_310,490025,2023-03-01
539,220,310,220_310,276058,2023-09-01
540,210,165,210_165,1104762,2017-12-01
541,220,310,220_310,-1000,2020-09-01
542,200,155,200_155,4600000,2017-05-01
543,240,155,240_155,4651828,2016-07-01
544,210,165,210_165,277779,2016-01-01
545,210,155,210_155,4968610,2022-12-01
546,250,155,250_155,10757851,2018-04-01
547,210,165,210_165,540810,2022-06-01
548,220,310,220_310,123201,2022-09-01
549,250,310,250_310,425327,2020-06-01
550,210,155,210_155,2175900,2019-01-01
551,210,310,210_310,929588,2019-09-01
552,240,155,240_155,5532463,2019-06-01
553,250,310,250_310,376002,2022-02-01
554,160,155,160_155,3063600,2023-03-01
555,200,155,200_155,3817132,2018-07-01
556,160,155,160_155,1782179,2020-06-01
557,200,310,200_310,353732,2020-11-01
558,210,165,210_165,537277,2023-07-01
559,210,165,210_165,790092,2018-02-01
560,210,165,210_165,231158,2020-01-01
561,250,310,250_310,149896,2019-01-01
562,220,155,220_155,653302,2019-03-01
563,200,155,200_155,2153147,2020-02-01
564,220,155,220_155,903570,2017-04-01
565,260,155,260_155,2800,2023-05-01
566,250,310,250_310,361285,2017-06-01
567,250,310,250_310,519049,2023-03-01
568,160,155,160_155,2244460,2016-01-01
569,210,165,210_165,501892,2017-05-01
570,260,155,260_155,2800,2023-06-01
571,220,155,220_155,231535,2017-01-01
572,220,155,220_155,43235,2019-02-01
573,220,155,220_155,872500,2022-03-01
574,250,155,250_155,7654680,2017-06-01
575,210,310,210_310,2005888,2018-05-01
576,200,155,200_155,3833993,2019-12-01
577,250,310,250_310,290923,2019-07-01
578,200,310,200_310,95436,2016-08-01
579,250,155,250_155,8479907,2023-12-01
580,220,310,220_310,593000,2020-10-01
581,160,155,160_155,1912454,2016-05-01
582,240,155,240_155,5333064,2023-02-01
583,250,155,250_155,9995065,2016-11-01
584,250,155,250_155,8575739,2018-05-01
585,240,155,240_155,5008043,2016-06-01
586,220,155,220_155,1057480,2017-07-01
587,240,155,240_155,5230210,2016-05-01
588,260,155,260_155,5000,2022-05-01
589,260,155,260_155,5000,2022-08-01
590,170,155,170_155,3971927,2023-08-01
591,160,155,160_155,5621830,2017-09-01
592,210,310,210_310,1868596,2016-01-01
593,170,155,170_155,2368000,2016-11-01
594,220,310,220_310,115004,2022-06-01
595,210,310,210_310,471029,2023-08-01
596,170,155,170_155,3164000,2016-10-01
597,240,155,240_155,3701809,2020-11-01
598,210,310,210_310,1594327,2019-04-01
599,200,155,200_155,3728896,2023-09-01
600,220,310,220_310,35095,2023-03-01
601,210,155,210_155,11299752,2018-03-01
602,250,165,250_165,43345,2023-03-01
603,210,310,210_310,1944894,2018-01-01
604,240,155,240_155,4079831,2018-09-01
605,200,155,200_155,6561775,2016-12-01
606,170,155,170_155,3805268,2018-04-01
607,250,310,250_310,579355,2022-03-01
608,260,155,260_155,4000,2020-05-01
609,260,155,260_155,5000,2022-02-01
610,210,310,210_310,648439,2019-10-01
611,210,155,210_155,5786571,2023-09-01
612,220,155,220_155,4264314,2022-05-01
613,210,165,210_165,597466,2016-05-01
614,210,165,210_165,501892,2017-06-01
615,210,310,210_310,3607709,2017-10-01
616,240,155,240_155,5597356,2018-05-01
617,240,155,240_155,3341975,2016-10-01
618,250,155,250_155,6891714,2016-07-01
619,210,165,210_165,985936,2020-05-01
620,220,310,220_310,2578,2022-04-01
621,220,155,220_155,52385,2018-12-01
622,170,155,170_155,2875750,2017-11-01
623,200,310,200_310,400874,2023-09-01
624,200,310,200_310,146866,2019-03-01
625,170,155,170_155,4283000,2019-04-01
626,260,155,260_155,5000,2022-07-01
627,200,155,200_155,1811173,2022-01-01
628,170,155,170_155,3853000,2019-02-01
629,210,310,210_310,984736,2020-04-01
630,260,155,260_155,5000,2022-01-01
631,250,310,250_310,788319,2022-09-01
632,260,155,260_155,4000,2020-11-01
633,260,155,260_155,4000,2020-12-01
634,160,155,160_155,3138174,2019-08-01
635,170,155,170_155,3487648,2022-12-01
636,210,165,210_165,453472,2022-09-01
637,200,310,200_310,122704,2016-11-01
638,220,155,220_155,130069,2023-12-01
639,200,310,200_310,141226,2018-01-01
640,250,155,250_155,4792523,2019-04-01
641,250,155,250_155,2528227,2019-01-01
642,200,155,200_155,4710934,2018-06-01
643,210,155,210_155,3744260,2019-09-01
644,160,155,160_155,2915895,2020-12-01
645,210,310,210_310,734573,2020-12-01
646,210,155,210_155,6628674,2018-08-01
647,160,155,160_155,3353994,2016-09-01
648,220,155,220_155,442613,2018-11-01
649,250,310,250_310,584778,2018-08-01
650,210,310,210_310,3322263,2016-06-01
651,220,155,220_155,520000,2020-01-01
652,200,155,200_155,3900000,2017-02-01
653,200,310,200_310,94372,2016-10-01
654,250,155,250_155,6087241,2017-02-01
655,250,155,250_155,16678813,2022-11-01
656,210,165,210_165,704458,2016-07-01
657,250,155,250_155,6630779,2016-04-01
658,260,155,260_155,4000,2020-01-01
659,210,310,210_310,936992,2020-10-01
660,200,310,200_310,226564,2020-08-01
661,210,155,210_155,4009407,2023-12-01
662,210,155,210_155,18328539,2018-11-01
663,250,155,250_155,6828308,2017-01-01
664,250,310,250_310,90603,2019-12-01
665,240,155,240_155,2732420,2016-12-01
666,210,165,210_165,562406,2023-06-01
667,210,165,210_165,406134,2022-03-01
668,200,310,200_310,313641,2023-02-01
669,240,155,240_155,4892400,2017-03-01
670,210,310,210_310,3967091,2016-08-01
671,260,155,260_155,4000,2020-03-01
672,220,155,220_155,63577,2022-11-01
673,250,155,250_155,2866591,2019-12-01
674,200,310,200_310,187863,2019-07-01
675,170,155,170_155,3720158,2022-04-01
676,170,155,170_155,2957000,2016-01-01
677,250,310,250_310,861321,2018-05-01
678,200,310,200_310,229854,2023-07-01
679,210,165,210_165,627994,2016-03-01
680,170,155,170_155,4030591,2018-06-01
681,200,155,200_155,3037026,2018-01-01
682,250,310,250_310,393009,2023-02-01
683,240,155,240_155,3686800,2017-11-01
684,160,155,160_155,4239375,2017-02-01
685,240,155,240_155,5917559,2022-06-01
686,250,155,250_155,10326155,2017-10-01
687,240,155,240_155,5446687,2023-08-01
688,220,310,220_310,35473,2023-12-01
689,220,310,220_310,396200,2019-04-01
690,210,165,210_165,1462477,2020-04-01
691,160,155,160_155,4257539,2020-09-01
692,250,155,250_155,6356748,2017-05-01
693,170,155,170_155,3919719,2019-10-01
694,170,155,170_155,2827843,2018-11-01
695,220,155,220_155,89480,2019-12-01
696,160,155,160_155,2855258,2022-02-01
697,210,310,210_310,355862,2023-01-01
698,200,310,200_310,277530,2023-01-01
699,210,310,210_310,3761507,2017-08-01
700,250,310,250_310,549717,2018-09-01
701,250,310,250_310,360796,2017-08-01
702,170,155,170_155,3096450,2019-12-01
703,220,310,220_310,-12000,2020-12-01
704,170,155,170_155,3286000,2016-03-01
705,170,155,170_155,3050069,2018-09-01
706,210,165,210_165,526626,2023-05-01
707,240,155,240_155,4932074,2018-06-01
708,250,155,250_155,6958912,2016-02-01
709,170,155,170_155,4024071,2020-11-01
710,210,165,210_165,870539,2018-08-01
711,240,155,240_155,6201705,2018-04-01
712,240,155,240_155,4669108,2016-04-01
713,210,155,210_155,12109632,2017-06-01
714,240,155,240_155,6220813,2018-02-01
715,250,310,250_310,317266,2023-08-01
716,210,155,210_155,11982589,2016-05-01
717,250,165,250_165,57321,2023-06-01
718,260,155,260_155,2800,2023-02-01
719,250,155,250_155,14613816,2022-10-01
720,210,165,210_165,450948,2023-08-01
721,260,155,260_155,2800,2023-10-01
722,210,165,210_165,1011385,2020-12-01
723,210,155,210_155,6860954,2022-06-01
724,200,155,200_155,3900000,2017-07-01
725,170,155,170_155,4088000,2019-03-01
726,250,310,250_310,570703,2017-04-01
727,250,310,250_310,714755,2017-01-01
728,250,155,250_155,4894477,2019-02-01
729,250,310,250_310,347058,2018-01-01
730,220,310,220_310,-2000,2020-06-01
731,220,155,220_155,2515985,2023-08-01
732,250,310,250_310,485852,2022-12-01
733,240,155,240_155,3247498,2016-01-01
734,160,155,160_155,3625155,2022-07-01
735,250,310,250_310,354837,2019-03-01
736,220,155,220_155,431970,2016-10-01
737,170,155,170_155,4022909,2023-07-01
738,160,155,160_155,2024565,2018-01-01
739,200,155,200_155,5247380,2022-09-01
740,250,155,250_155,7901590,2019-09-01
741,250,155,250_155,6605287,2016-03-01
742,210,155,210_155,13007481,2017-03-01
743,160,155,160_155,1803054,2023-01-01
744,210,165,210_165,786089,2023-04-01
745,160,155,160_155,1422512,2016-07-01
746,250,310,250_310,243270,2020-01-01
747,160,155,160_155,4115078,2018-07-01
748,210,165,210_165,489493,2022-02-01
749,200,155,200_155,5575053,2018-05-01
750,210,165,210_165,1665515,2018-03-01
751,220,155,220_155,628985,2020-07-01
752,220,155,220_155,109094,2023-04-01
753,160,155,160_155,2680917,2019-07-01
754,250,155,250_155,12485142,2018-12-01
755,170,155,170_155,3719328,2022-05-01
756,250,155,250_155,4640590,2018-02-01
757,220,155,220_155,4971352,2020-10-01
758,250,165,250_165,43424,2023-07-01
759,210,155,210_155,11377763,2016-10-01
760,240,155,240_155,3840268,2020-10-01
761,240,155,240_155,5210991,2020-08-01
762,250,155,250_155,10568852,2018-11-01
763,220,155,220_155,4106,2022-08-01
764,220,310,220_310,9438,2019-02-01
765,240,155,240_155,4538753,2019-01-01
766,210,165,210_165,421641,2017-01-01
767,210,155,210_155,5605519,2020-09-01
768,160,155,160_155,4591055,2018-10-01
769,250,155,250_155,13898719,2016-10-01
770,250,155,250_155,9063079,2017-04-01
771,250,310,250_310,249998,2023-12-01
772,210,310,210_310,394496,2022-12-01
773,160,155,160_155,4170334,2018-06-01
774,220,155,220_155,168950,2017-03-01
775,210,155,210_155,6603387,2022-08-01
776,200,310,200_310,146251,2019-02-01
777,250,155,250_155,10443479,2017-11-01
778,210,310,210_310,3074374,2018-08-01
779,200,310,200_310,374917,2022-03-01
780,160,155,160_155,2893862,2023-10-01
781,250,310,250_310,361227,2017-07-01
782,250,155,250_155,6415527,2016-01-01
783,220,155,220_155,3600383,2023-10-01
784,160,155,160_155,869332,2020-04-01
785,240,155,240_155,3768668,2016-02-01
786,200,155,200_155,1556868,2019-04-01
787,210,165,210_165,668076,2016-11-01
788,260,155,260_155,4000,2020-09-01
789,220,155,220_155,171773,2016-03-01
790,210,155,210_155,5417241,2019-10-01
791,200,155,200_155,2885902,2022-03-01
792,210,310,210_310,1076449,2022-10-01
793,240,155,240_155,5580200,2017-04-01
794,240,155,240_155,4678000,2017-06-01
795,250,155,250_155,3122000,2020-01-01
796,210,155,210_155,4280255,2022-05-01
797,200,310,200_310,550468,2023-12-01
798,200,155,200_155,1401928,2019-10-01
799,170,155,170_155,2867000,2016-02-01
800,210,155,210_155,6510150,2023-01-01
801,170,155,170_155,4296920,2022-01-01
802,250,310,250_310,368755,2019-05-01
803,210,155,210_155,6887883,2023-03-01
804,250,155,250_155,8613978,2020-10-01
805,210,310,210_310,2270710,2018-10-01
806,210,310,210_310,917649,2023-11-01
807,200,155,200_155,2438830,2020-06-01
808,210,310,210_310,414000,2020-01-01
809,220,155,220_155,5892008,2022-01-01
810,160,155,160_155,3759301,2016-02-01
811,250,155,250_155,5274904,2018-01-01
812,240,155,240_155,4282400,2017-08-01
813,240,155,240_155,5842702,2019-05-01
814,220,310,220_310,451250,2020-04-01
815,250,155,250_155,9074025,2019-11-01
816,200,155,200_155,1980287,2023-10-01
817,220,155,220_155,666126,2017-06-01
818,170,155,170_155,2789000,2016-12-01
819,250,310,250_310,279341,2019-02-01
820,160,155,160_155,1930791,2016-04-01
821,220,155,220_155,79409,2019-05-01
822,220,155,220_155,1170743,2017-11-01
823,170,155,170_155,2923000,2016-08-01
824,260,155,260_155,2800,2023-01-01
825,160,155,160_155,2631422,2019-06-01
826,250,155,250_155,7616347,2022-02-01
827,210,155,210_155,4861777,2020-06-01
828,170,155,170_155,3681000,2020-01-01
829,210,310,210_310,2221327,2016-02-01
830,210,165,210_165,1190062,2020-11-01
831,200,310,200_310,346038,2023-04-01
832,200,310,200_310,103361,2016-09-01
833,220,155,220_155,158725,2022-07-01
834,240,155,240_155,3984600,2017-09-01
835,250,155,250_155,5981813,2017-07-01
836,220,155,220_155,7580273,2016-01-01
837,200,155,200_155,2440227,2020-07-01
838,210,165,210_165,759237,2019-12-01
839,210,310,210_310,1948693,2023-10-01
840,200,155,200_155,3055656,2018-02-01
841,160,155,160_155,3263523,2017-05-01
842,160,155,160_155,5470420,2018-09-01
843,160,155,160_155,4317650,2018-11-01
844,220,155,220_155,6224224,2019-08-01
845,220,155,220_155,156200,2019-11-01
846,170,155,170_155,2796603,2018-12-01
847,250,155,250_155,7789916,2022-03-01
848,250,155,250_155,7372657,2018-06-01
849,210,310,210_310,2451259,2017-01-01
850,160,155,160_155,2668244,2023-06-01
851,220,155,220_155,183564,2020-05-01
852,250,155,250_155,6875562,2020-12-01
853,170,155,170_155,3913960,2020-02-01
854,160,155,160_155,2679796,2023-09-01
855,210,155,210_155,11377763,2016-09-01
856,160,155,160_155,4941475,2018-04-01
857,210,155,210_155,8516652,2017-08-01
858,260,155,260_155,2800,2023-11-01
859,220,310,220_310,436868,2019-08-01
860,250,155,250_155,5259105,2020-08-01
861,200,155,200_155,2214650,2020-04-01
862,240,155,240_155,5535396,2020-03-01
863,240,155,240_155,4536877,2020-02-01
864,200,155,200_155,3290933,2022-05-01
865,240,155,240_155,5216550,2023-01-01
866,210,165,210_165,735625,2018-06-01
867,160,155,160_155,4646484,2019-12-01
868,210,310,210_310,4335967,2019-06-01
869,250,155,250_155,6611695,2022-06-01
870,210,155,210_155,24354226,2018-12-01
871,240,155,240_155,5473663,2022-02-01
872,170,155,170_155,2283000,2016-09-01
873,170,155,170_155,3861000,2019-09-01
874,200,155,200_155,2286485,2023-08-01
875,240,155,240_155,5477920,2022-10-01
876,210,155,210_155,6710066,2022-09-01
877,210,165,210_165,1568907,2018-10-01
878,170,155,170_155,3484400,2017-03-01
879,240,155,240_155,8322015,2023-07-01
880,160,155,160_155,3695269,2017-03-01
881,250,310,250_310,640556,2017-11-01
882,240,155,240_155,4507843,2019-02-01
883,210,310,210_310,3761133,2017-04-01
884,170,155,170_155,3976000,2016-04-01
885,220,155,220_155,259468,2017-05-01
886,210,165,210_165,704458,2016-08-01
887,210,165,210_165,592088,2022-04-01
888,250,310,250_310,658167,2023-11-01
889,210,155,210_155,7043029,2022-02-01
890,250,310,250_310,1016538,2020-11-01
891,220,155,220_155,673519,2023-05-01
892,200,155,200_155,2327117,2023-02-01
893,220,310,220_310,58933,2020-05-01
894,210,310,210_310,987538,2023-12-01
895,220,155,220_155,5986080,2020-03-01
896,160,155,160_155,4027605,2022-08-01
897,200,310,200_310,316779,2019-05-01
898,200,155,200_155,2581705,2019-05-01
899,200,310,200_310,850134,2022-09-01
900,200,310,200_310,1350658,2022-12-01
901,170,155,170_155,3919271,2020-08-01
902,220,155,220_155,2837867,2018-01-01
903,220,310,220_310,382370,2022-05-01
904,250,165,250_165,51334,2023-05-01
905,240,155,240_155,4199542,2018-08-01
906,210,310,210_310,2219523,2016-11-01
907,220,155,220_155,7299155,2016-11-01
908,170,155,170_155,3644000,2016-06-01
909,250,310,250_310,354587,2023-01-01
910,160,155,160_155,2423724,2016-06-01
911,250,155,250_155,5919467,2023-02-01
912,210,310,210_310,1481666,2018-09-01
913,210,310,210_310,3143226,2018-03-01
914,250,155,250_155,5597480,2023-03-01
915,250,165,250_165,43345,2023-02-01
916,250,155,250_155,11046322,2022-05-01
917,160,155,160_155,3293478,2019-09-01
918,250,155,250_155,6775605,2020-06-01
919,220,155,220_155,571537,2023-01-01
920,250,310,250_310,216985,2020-05-01
921,210,310,210_310,2104351,2016-04-01
922,250,310,250_310,330669,2023-07-01
923,220,155,220_155,322564,2018-04-01
924,250,310,250_310,1250166,2023-10-01
925,200,155,200_155,2735670,2016-09-01
926,200,155,200_155,1699464,2023-07-01
927,240,155,240_155,5471745,2020-04-01
928,210,310,210_310,828528,2022-07-01
929,210,165,210_165,388690,2020-03-01
930,210,155,210_155,8632624,2019-03-01
931,260,155,260_155,5000,2022-10-01
932,240,155,240_155,3980200,2017-10-01
933,210,155,210_155,5795941,2022-10-01
934,210,165,210_165,650538,2022-05-01
935,210,155,210_155,5239358,2023-10-01
936,210,310,210_310,3193563,2017-03-01
937,220,155,220_155,58902,2020-11-01
938,170,155,170_155,2973050,2017-10-01
939,210,165,210_165,629943,2017-07-01
940,250,155,250_155,6505633,2016-06-01
941,200,310,200_310,262730,2023-08-01
942,250,155,250_155,8149812,2019-07-01
943,210,155,210_155,3301000,2020-01-01
944,200,155,200_155,4178062,2023-12-01
945,240,155,240_155,3972251,2016-08-01
946,240,155,240_155,5902115,2022-05-01
947,200,310,200_310,262986,2023-05-01
948,220,155,220_155,249910,2017-08-01
949,220,155,220_155,449519,2023-09-01
950,200,155,200_155,2619470,2016-02-01
951,200,155,200_155,6650000,2017-11-01
952,170,155,170_155,3720008,2022-08-01
953,240,155,240_155,4234979,2018-10-01
954,200,310,200_310,485429,2022-07-01
955,200,155,200_155,2980330,2023-03-01
956,160,155,160_155,3641536,2020-08-01
957,250,155,250_155,9322597,2016-05-01
958,170,155,170_155,4145828,2019-01-01
959,260,155,260_155,5000,2022-03-01
960,220,310,220_310,483380,2019-11-01
961,210,155,210_155,2550869,2020-07-01
962,240,155,240_155,5313648,2023-12-01
963,210,165,210_165,554383,2020-02-01
964,200,310,200_310,342417,2022-06-01
965,200,155,200_155,1172905,2019-07-01
966,210,155,210_155,3995637,2019-05-01
967,170,155,170_155,4138000,2019-08-01
968,240,155,240_155,5614292,2020-05-01
969,210,155,210_155,9013019,2017-10-01
970,240,155,240_155,5780901,2022-08-01
971,250,155,250_155,5744694,2017-08-01
972,200,155,200_155,1516391,2020-03-01
973,200,155,200_155,1683431,2019-02-01
974,210,165,210_165,304951,2020-06-01
975,210,310,210_310,2612354,2023-09-01
